Functions,Hall,Line,Shift,Nr QR Codes,Day,Tag Name,Link for QR code,MFO-LL,MFO-SL,MFO-FM,MFO-GL,MFQ-GL,MFQ-Planner,MFP-GL,MFP-Planner,PT,MSE,VSM,MFE-GL,MFE Process Engineer,MFE Process Technician,MFE Team Leader,MFE Foreman,MFE Line Responsible,MFE Maintenance coordinator,MFE Shiftleader,Quality Technician,MOE-T
,Hall 1,AB12 L1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4hBbXm8vls1L2a3S4hfbYmaCOZcd7zExCvfvrt2SoLAhQzJDuBqthel5VRnC7YT,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,AB12 L2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18BdIXeI2uYXE0BcoBTnGx6Oha8BgPJ6Ep4gwS4gz0GSaleKZ5SKsZm,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,AB12 L3,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3Sm3aB74Edk8Y85l8Eq2oqqUWCK0bmFr9v0RZ9OHp1L2u3SFlmnscVroehbRc,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,AB12 Preassembly L1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3S3FfGwQEsmIML1KLvcvIhts1L2a3S4hiUp1L2u3SawqX28dmctc8EI0PPDQJemCXpNB6,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,AB12 Preassembly L2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19p1L2u3Snjx6HHAbNJNuk7r5EkEHfrvy1wcBFYP5zPSc1pFGX2P9PZP6wCn8,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,Cutting,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18xdJb4gp1L2u3SJZE4TWF2MHk2If4uPgdGPmaorNFlp9p7T5ykZ4fR2mr7MX,,,,,,,,,PT,,,,,,,,,,,,
,Hall 3,ebike FA L1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4hmeh8ps65epU8jj6GG1BuxP6UHUWRN4ns1L2a3S4hnAn3LNvahJwjbNdZD8xtV,,,,,,,,,PT,,,,,,,,,,,,
,Hall 3,ebike FA L2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19Ws1L2a3S4hkIaQKEchIv3ovg6R2ddW3YqbGnFMrsQJb4VK1mK9Whs1L2a3S4hbsv3Cn0V,,,,,,,,,PT,,,,,,,,,,,,
,Hall 3,ebike FA L3,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4haDs1L2a3S4hfp1L2u3SoXVxiEGFnzECuMSp1L2u3SsWSeR4W57kKEe5X5Cyqm5XyRZ9p1L2u3SF4Jts1L2a3S4h,,,,,,,,,PT,,,,,,,,,,,,
,Hall 3,ebike FA L4,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3SZxcGb10xDFzsAaphLpM6FWUvKghGg9r0oDxJEFJrVj6lefwV4PAcn,,,,,,,,,PT,,,,,,,,,,,,
,Hall 3,ebike FA L5,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18OAOsFZ7xE2BPfLmfr38npJ1sSJ4tNp1L2u3SYSJbIFbOXws1L2a3S4hRb9j3P5gEbRG,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,ECM L1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19lup1L2u3SZeXHw5wDsk1850Q35xm4zmfeys3Bo5QuQ3veIdhkFFWBSEOhgK,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,ECM L2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4hzHLr7oYvsmVxXoBYDOZ9qmvYpeRdSOcmuY1xTgARmiJQZjmZ3qvfe,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,ECM_Cutting,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3SXFFJZryqU7ws0as1L2a3S4hzD77Wp1L2u3SJPRIp1L2u3SQRqzkb9soJdNF4xUGgcRq10NNiL,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,ECM_Welding L1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1815KJ8gnjcExFtIprSOw0VvkBac5XUsQlKaSfwqBxzKGLfwu0CGocP,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,ECM_Welding L2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3SKbfoBlH9s5v0lsHfJsdLaCv8X8oblS7kcy1aICUDTjcLpyDO9JQEB,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,FED,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3Sj2ij8XImuLg8qMs1L2a3S4hNlTM5hl4hs1L2a3S4hteKuLp1L2u3SaCexpp1L2u3SzCayVzbxX9DNVsJp,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,Flexline,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3SFsr7GLQxb5w2acUimlHCb1uGWMfGxIzqT36zeLgohmElqQCGahfDp,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,Flexline_Cutting,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18qhZp1L2u3SGh52ErP6aNyVgT1B5Y4MaXtyPkOvzNfjHkcLtdCK2586vaTn4,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,Flexline_L2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18GoXJz45JPHP5BdHpzXd2I2zXSR4XlpOCVkvs4Z9wu4rvJW9O6lQf8,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,FPC5,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3ScHBo1XV0RJ34UVrmxBiIp0TREPyGp1L2u3S55yKKN950g1WSC0fDpDnvA9O,,,,,,,,,PT,,,,,,,,,,,,
